Time,Channel A
(s),(V)

-0.40025799,0.00396741
-0.40012399,0.00396741
-0.39998999,0.00396741
-0.39985599,0.00396741
-0.39972199,0.00396741
-0.39958799,0.00396741
-0.39945399,0.00396741
-0.39931999,0.00396741
-0.39918599,0.00396741
-0.39905199,0.00396741
-0.39891799,0.00396741
-0.39878399,0.00396741
-0.39864999,0.00381481
-0.39851599,0.00381481
-0.39838199,0.00381481
-0.39824799,0.00381481
-0.39811399,0.00381481
-0.39797999,0.00381481
-0.39784599,0.00381481
-0.39771199,0.00350963
-0.39757799,0.00350963
-0.39744399,0.00350963
-0.39730999,0.00350963
-0.39717599,0.00350963
-0.39704199,0.00350963
-0.39690799,0.00350963
-0.39677399,0.00350963
-0.39663999,0.00381481
-0.39650599,0.00381481
-0.39637199,0.00381481
-0.39623799,0.00381481
-0.39610399,0.00381481
-0.39596999,0.00381481
-0.39583599,0.00381481
-0.39570199,0.00381481
-0.39556799,0.00381481
-0.39543399,0.00381481
-0.39529999,0.00381481
-0.39516599,0.00381481
-0.39503199,0.00381481
-0.39489799,0.00381481
-0.39476399,0.00381481
-0.39462999,0.00381481
-0.39449599,0.00381481
-0.39436199,0.00381481
-0.39422799,0.00381481
-0.39409399,0.00381481
-0.39395999,0.00381481
-0.39382599,0.00381481
-0.39369199,0.00381481
-0.39355799,0.00381481
-0.39342399,0.00381481
-0.39328999,0.00381481
-0.39315599,0.00381481
-0.39302199,0.00381481
-0.39288799,0.00381481
-0.39275399,0.00381481
-0.39261999,0.00381481
-0.39248599,0.00381481
-0.39235199,0.00381481
-0.39221799,0.00381481
-0.39208399,0.00381481
-0.39194999,0.00350963
-0.39181599,0.00350963
-0.39168199,0.00350963
-0.39154799,0.00381481
-0.39141399,0.00381481
-0.39127999,0.00350963
-0.39114599,0.00350963
-0.39101199,0.00350963
-0.39087799,0.00350963
-0.39074399,0.00350963
-0.39060999,0.00350963
-0.39047599,0.00350963
-0.39034199,0.00350963
-0.39020799,0.00350963
-0.39007399,0.00350963
-0.38993999,0.00350963
-0.38980599,0.00350963
-0.38967199,0.00350963
-0.38953799,0.00350963
-0.38940399,0.00350963
-0.38926999,0.00350963
-0.38913599,0.00350963
-0.38900199,0.00381481
-0.38886799,0.00381481
-0.38873399,0.00381481
-0.38859999,0.00381481
-0.38846599,0.00381481
-0.38833199,0.00381481
-0.38819799,0.00381481
-0.38806399,0.00381481
-0.38792999,0.00381481
-0.38779599,0.00381481
-0.38766199,0.00381481
-0.38752799,0.00381481
-0.38739399,0.00381481
-0.38725999,0.00381481
-0.38712599,0.00381481
-0.38699199,0.00381481
-0.38685799,0.00381481
-0.38672399,0.00381481
-0.38658999,0.00381481
-0.38645599,0.00381481
-0.38632199,0.00381481
-0.38618799,0.00381481
-0.38605399,0.00381481
-0.38591999,0.00381481
-0.38578599,0.00381481
-0.38565199,0.00381481
-0.38551799,0.00381481
-0.38538399,0.00381481
-0.38524999,0.00381481
-0.38511599,0.00381481
-0.38498199,0.00381481
-0.38484799,0.00381481
-0.38471399,0.00381481
-0.38457999,0.00381481
-0.38444599,0.00381481
-0.38431199,0.00381481
-0.38417799,0.00381481
-0.38404399,0.00381481
-0.38390999,0.00381481
-0.38377599,0.00381481
-0.38364199,0.00396741
-0.38350799,0.00396741
-0.38337399,0.00396741
-0.38323999,0.00396741
-0.38310599,0.00396741
-0.38297199,0.00396741
-0.38283799,0.00396741
-0.38270399,0.00396741
-0.38256999,0.00396741
-0.38243599,0.00396741
-0.38230199,0.00396741
-0.38216799,0.00396741
-0.38203399,0.00396741
-0.38189999,0.00396741
-0.38176599,0.00396741
-0.38163199,0.00396741
-0.38149799,0.00396741
-0.38136399,0.00396741
-0.38122999,0.00396741
-0.38109599,0.00396741
-0.38096199,0.00396741
-0.38082799,0.00396741
-0.38069399,0.00396741
-0.38055999,0.00396741
-0.38042599,0.00396741
-0.38029199,0.00396741
-0.38015799,0.00396741
-0.38002399,0.00396741
-0.37988999,0.00381481
-0.37975599,0.00381481
-0.37962199,0.00381481
-0.37948799,0.00381481
-0.37935399,0.00381481
-0.37921999,0.00381481
-0.37908599,0.00381481
-0.37895199,0.00381481
-0.37881799,0.00381481
-0.37868399,0.00381481
-0.37854999,0.00381481
