Time,Channel A
(s),(V)

-0.60031997,0.00183111
-0.60018597,0.00183111
-0.60005197,0.00183111
-0.59991797,0.00183111
-0.59978397,0.00183111
-0.59964997,0.00732444
-0.59951597,0.00732444
-0.59938197,0.00732444
-0.59924797,0.00732444
-0.59911397,0.00732444
-0.59897997,0.00732444
-0.59884597,0.00732444
-0.59871197,0.00732444
-0.59857797,0.00732444
-0.59844397,0.00732444
-0.59830997,0.00732444
-0.59817597,0.00732444
-0.59804197,0.00732444
-0.59790797,0.00732444
-0.59777397,0.00732444
-0.59763997,0.00732444
-0.59750597,0.00732444
-0.59737197,0.00732444
-0.59723797,0.00732444
-0.59710397,0.00732444
-0.59696997,0.00732444
-0.59683597,0.00732444
-0.59670197,0.00732444
-0.59656797,0.00732444
-0.59643397,0.00732444
-0.59629997,0.00732444
-0.59616597,0.00732444
-0.59603197,0.00732444
-0.59589797,0.00732444
-0.59576397,0.00732444
-0.59562997,0.00732444
-0.59549597,0.00732444
-0.59536197,0.00732444
-0.59522797,0.00732444
-0.59509397,0.00732444
-0.59495997,0.00732444
-0.59482597,0.00732444
-0.59469197,0.00732444
-0.59455797,0.00732444
-0.59442397,0.00732444
-0.59428997,0.00732444
-0.59415597,0.00732444
-0.59402197,0.00732444
-0.59388797,0.00732444
-0.59375397,0.00732444
-0.59361997,0.00732444
-0.59348597,0.00732444
-0.59335197,0.00732444
-0.59321797,0.00732444
-0.59308397,0.00732444
-0.59294997,0.00732444
-0.59281597,0.00732444
-0.59268197,0.00732444
-0.59254797,0.00732444
-0.59241397,0.00732444
-0.59227997,0.00732444
-0.59214597,0.00732444
-0.59201197,0.00732444
-0.59187797,0.00732444
-0.59174397,0.00732444
-0.59160997,0.00732444
-0.59147597,0.00732444
-0.59134197,0.00732444
-0.59120797,0.00732444
-0.59107397,0.00732444
-0.59093997,0.00732444
-0.59080597,0.00732444
-0.59067197,0.01281777
-0.59053797,0.01281777
-0.59040397,0.01281777
-0.59026997,0.01281777
-0.59013597,0.01281777
-0.59000197,0.01831111
-0.58986797,0.01831111
-0.58973397,0.01831111
-0.58959997,0.01831111
-0.58946597,0.01831111
-0.58933197,0.01281777
-0.58919797,0.01281777
-0.58906397,0.01281777
-0.58892997,0.01281777
-0.58879597,0.01281777
-0.58866197,0.01281777
-0.58852797,0.00732444
-0.58839397,0.00732444
-0.58825997,0.00732444
-0.58812597,0.00732444
-0.58799197,0.00732444
-0.58785797,0.00183111
-0.58772397,0.00183111
-0.58758997,0.00183111
-0.58745597,0.00183111
-0.58732197,0.00183111
-0.58718797,0.00732444
-0.58705397,0.00732444
-0.58691997,0.00732444
-0.58678597,0.00732444
-0.58665197,0.00732444
-0.58651797,0.00732444
-0.58638397,0.00732444
-0.58624997,0.00732444
-0.58611597,0.00732444
-0.58598197,0.00732444
-0.58584797,0.00732444
-0.58571397,0.00732444
-0.58557997,0.00732444
-0.58544597,0.00732444
-0.58531197,0.00732444
-0.58517797,0.00732444
-0.58504397,0.00732444
-0.58490997,0.00732444
-0.58477597,0.00732444
-0.58464197,0.00732444
-0.58450797,0.00732444
-0.58437397,0.00732444
-0.58423997,0.00732444
-0.58410597,0.00732444
-0.58397197,0.00732444
-0.58383797,0.00732444
-0.58370397,0.00732444
-0.58356997,0.00732444
-0.58343597,0.00732444
-0.58330197,0.00732444
-0.58316797,0.00732444
-0.58303397,0.00732444
-0.58289997,0.00732444
-0.58276597,0.00732444
-0.58263197,0.00732444
-0.58249797,0.00732444
-0.58236397,0.00732444
-0.58222997,0.00732444
-0.58209597,0.00732444
-0.58196197,0.00732444
-0.58182797,0.00732444
-0.58169397,0.00732444
-0.58155997,0.00732444
-0.58142597,0.00732444
-0.58129197,0.00732444
-0.58115797,0.00732444
-0.58102397,0.00732444
-0.58088997,0.00732444
-0.58075597,0.00732444
-0.58062197,0.00732444
-0.58048797,0.00732444
-0.58035397,0.00732444
-0.58021997,0.00183111
-0.58008597,0.00183111
-0.57995197,0.00183111
-0.57981797,0.00183111
-0.57968397,0.00183111
-0.57954997,-0.00366222
-0.57941597,-0.00366222
-0.57928197,-0.00366222
-0.57914797,-0.00366222
-0.57901397,-0.00366222
-0.57887997,-0.00915555
-0.57874597,-0.00915555
